bn_id,statements,dob,dod,name_label
Q1000,16,1853,1935,Kate Norgate
Q1002,18,1873,1950,Rosalind Lucy Northcote
Q1003,15,1838,1924,Frances Arabella O'Grady
Q1005,16,1864,1941,Mary Owen
Q1006,34,1852,1927,Agnes Ramsay
Q1007,21,1825,1899,"Clara, Lady Paget"
Q1008,11,,,Diana C. Parkinson
Q1009,13,1873,,Clara Maud Patterson
Q1010,43,1856,1920,Mabel Geraldine Woodruffe Peacock
Q1015,22,1862,1934,Charlotte Mary Augusta Peake
Q1016,16,1867,1920,Ada Janet Peggs
Q1017,15,1842,,Anne Sophia Place
Q1020,20,1835,1924,Emmeline Mary Plunket
Q1021,12,1849,,Margaret Ellen Poole
Q1023,22,1811,1882,Mary A. Powley
Q1024,9,1833,,Annie Elizabeth Price
Q1025,11,1840,1914,Kate Lawless Pyne
Q1027,21,1850,1905,Lucy Ramsay
Q1028,31,,1959,Margaret Ramsay
Q1029,43,1876,1952,Rachel Robertson Reid
Q1030,32,1882,1972,Gisela Marie Augusta Richter
Q1031,21,1843,1935,Marion Rivett-Carnac
Q1032,10,,,May Robinson
Q1033,29,1865,1935,Ida Mary Roper
Q1035,19,1845,1931,Julia Anne Elizabeth Roundell
Q1036,22,1881,1973,Enid Maud Grace Routh
Q1037,10,,,Agnes Rowley-Morris
Q1038,14,1832,1925,Constance Charlotte Elisa Russell
Q1039,19,1837,1915,Helen Jane Mountstuart Russell
Q1040,21,1830,1914,Helen Jemima Saunders
Q1041,12,,,Rose Mary Le Fleming Senhouse
Q1042,8,,,Annie Mary Sharp
Q1043,42,1882,1924,Violet Mary Shillington
Q1044,16,1844,1901,Edith Jemima Simcox
Q1045,13,,,Emily Skinner
Q1046,10,1856,1924,Maud Slade-King
Q1047,27,1838,1911,Lucy Toulmin Smith
Q1049,14,1884,1966,Gwendoline Clare Stacpoole
Q1050,12,,,Mary L. Stevenson
Q1053,60,1840,1929,Charlotte Carmichael Stopes
Q1055,33,1840,1930,Emma Swann
Q1056,18,1832,1910,Blanche Arthur Georgina Swinton
Q1057,10,1854,,Clara Elizabeth Sworder
Q1059,29,1863,1939,Ella Constance Sykes
Q106,40,1910,1996,Jacquetta Hawkes
Q1060,15,1868,1948,Constance Tayler
Q1061,15,1856,1932,Elizabeth Taylor
Q1062,21,1860,1920,Susette Martha Taylor
Q1063,24,1858,1928,Eleanor Blanche Tempest
Q1064,16,1867,1936,Ethel Margaret Thompson
Q1065,51,1853,1943,Helen Mary Tirard
Q1066,21,1852,1930,Dorothea Townshend
Q1067,18,1805,1888,Emily Tite
Q1068,20,1820,1890,Charlotte Elizabeth Treadwin
Q1069,22,1848,1919,Emily Mary Chenevix Trench
Q1072,9,,,M. Agatha Turner
Q1074,26,1844,1930,Margaret Maria Verney
Q1076,12,1820,1905,Mary Adelaide Walker
Q1077,19,1868,1918,Letitia Alice Walkington
Q1078,12,1824,,Emma Georgina Elizabeth Ogier Ward
Q1079,27,1847,1911,Ellen King Ware
Q108,40,1900,1951,Norah Jolliffe
Q1080,13,1868,,Anne Mannooch Welch
Q1081,34,1849,1917,Agnes Grace Weld
Q1082,23,1880,,Margery Katherine Welsh
Q1083,19,1878,1959,Silvia Mary Welsh
Q1084,41,1859,1935,Alice Werner
Q1085,26,1850,1928,Jessie Laidlay Weston
Q1087,13,1843,1916,Isabel Jane Alexander Wetherall
Q1088,33,1857,1929,Albina Lucy Cust Wherry
Q109,23,1909,1998,Katherine Maud Elisabeth Murray
Q1090,20,1887,1974,Beatrix Albina Wherry
Q1091,22,1867,1943,Rachel Evelyn White
Q1093,12,1806,1885,Jane Williams
Q1094,17,1854,1944,Charlotte Mary Wilson
Q1095,12,,1905,Christina S. Wood
Q1096,14,1853,1933,Margaret E. Woodward
Q1098,11,,1927,Mabel E. Wotton
Q1099,15,1870,1943,Mary P. Perry
Q110,8,,,Joan Mary Lovell Myres
Q1101,33,1900,1989,Olwen Brogan
Q1104,26,1893,1972,Vera Mary Dallas
Q1107,25,1867,1945,Edith Murray Keate
Q1109,32,1902,1984,Molly Cotton
Q111,17,1913,1987,Grace Thornton
Q1112,29,1908,1981,Margaret Envys Wood
Q1113,20,1907,1986,Renee Marcouse
Q1114,31,1893,1984,Helen O'Neil
Q1115,24,1879,1955,Florence Margaret Patchett
Q1116,23,1896,1978,Phoebe Alice Marion Keef
Q1118,27,1913,1970,Margaret Eleanore Murray Threipland
Q1119,30,1907,2005,Aileen Fox
Q1120,9,,,Helen Mary Petter
Q1121,20,,,Margaret Whitley
Q1129,8,,,Julia Sturge
Q113,10,,,Kathleen Walker
Q1132,12,,,Alice Minet
Q1138,19,1810,1906,Emmeline Way
Q114,17,1909,1992,Anne Welsford
Q1140,10,1839,1924,Mary Ellen Vere Perceval
Q1144,12,1849,1905,Edith Frances Stopford Sackville
Q1149,28,1847,1933,Mabel Morrison
Q115,10,,,Ursula Wratislaw
Q1152,10,1869,,Bella Middleton
Q1153,20,1855,1900,Florence Peacock
Q1154,15,1839,1914,Jane Morris
Q1155,10,1836,1910,Amy Wedgwood
Q1156,14,1844,1929,Georgina Emily Chester Master
Q1158,12,1852,1910,Valerie Susan Meux
Q1176,29,1910,1992,Veronica Seton-Williams
Q1253,23,1835,1919,Margaret Susan Tyssen-Amherst
Q1267,12,1863,1948,Ethel Mary Colman
Q1269,36,1877,1929,Janet Elizabeth Birch
Q1276,11,,,Matilda Redington
Q1283,15,,,Joan Parkes
Q1284,12,1877,,Marian Frost
Q1288,9,,,Beatrice Colquhoun
Q130,38,1868,1926,Gertrude Bell
Q1307,11,1856,,Elizabeth Hetherington
Q1310,23,1870,1944,Ethel Stokes
Q1322,15,1889,1991,Laura Margaret Midgley
Q1323,11,,1962,Edith M. Hunt
Q1324,23,1901,1980,Cecily M. Baker
Q133,78,1881,1963,Margerie Venables Taylor
Q1343,9,,,Maria Jane Slee
Q1365,12,,1894,Eliza Ann Forster
Q1366,12,1823,1895,Emily Anna Ouvry
Q1369,31,1843,1900,Marie Brown
