bn_id,names,escape_names,url
Q1000,"dc.creator=""Norgate, Kate""",dc.creator%3D%22Norgate%2C%20Kate%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22Norgate%2C%20Kate%22
Q1002,"dc.creator=""Northcote, Rosalind"" or dc.creator=""Northcote, Rosalind Lucy""",dc.creator%3D%22Northcote%2C%20Rosalind%22%20or%20dc.creator%3D%22Northcote%2C%20Rosalind%20Lucy%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22Northcote%2C%20Rosalind%22%20or%20dc.creator%3D%22Northcote%2C%20Rosalind%20Lucy%22
Q1003,"dc.creator=""O'Grady, Frances Arabella"" or dc.creator=""Beresford, Frances Arabella""",dc.creator%3D%22O%27Grady%2C%20Frances%20Arabella%22%20or%20dc.creator%3D%22Beresford%2C%20Frances%20Arabella%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22O%27Grady%2C%20Frances%20Arabella%22%20or%20dc.creator%3D%22Beresford%2C%20Frances%20Arabella%22
Q1005,"dc.creator=""Owen, Mary"" or dc.creator=""Griffith, Mary""",dc.creator%3D%22Owen%2C%20Mary%22%20or%20dc.creator%3D%22Griffith%2C%20Mary%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22Owen%2C%20Mary%22%20or%20dc.creator%3D%22Griffith%2C%20Mary%22
Q1006,"dc.creator=""Ramsey, Agnes""",dc.creator%3D%22Ramsey%2C%20Agnes%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22Ramsey%2C%20Agnes%22
Q1007,"dc.creator=""Paget, Clara"" or dc.creator=""Paget, Clara, Lady"" or dc.creator=""Fardell, Clara, Lady"" or dc.creator=""Paget, Clara Fardell""",dc.creator%3D%22Paget%2C%20Clara%22%20or%20dc.creator%3D%22Paget%2C%20Clara%2C%20Lady%22%20or%20dc.creator%3D%22Fardell%2C%20Clara%2C%20Lady%22%20or%20dc.creator%3D%22Paget%2C%20Clara%20Fardell%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22Paget%2C%20Clara%22%20or%20dc.creator%3D%22Paget%2C%20Clara%2C%20Lady%22%20or%20dc.creator%3D%22Fardell%2C%20Clara%2C%20Lady%22%20or%20dc.creator%3D%22Paget%2C%20Clara%20Fardell%22
Q1008,"dc.creator=""Parkinson, Diana C.""",dc.creator%3D%22Parkinson%2C%20Diana%20C.%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22Parkinson%2C%20Diana%20C.%22
Q1009,"dc.creator=""Patterson, Clara M."" or dc.creator=""Patterson, Clara Maud""",dc.creator%3D%22Patterson%2C%20Clara%20M.%22%20or%20dc.creator%3D%22Patterson%2C%20Clara%20Maud%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22Patterson%2C%20Clara%20M.%22%20or%20dc.creator%3D%22Patterson%2C%20Clara%20Maud%22
Q1010,"dc.creator=""Peacock, Mabel"" or dc.creator=""Peacock, Mabel Geraldine Woodruffe""",dc.creator%3D%22Peacock%2C%20Mabel%22%20or%20dc.creator%3D%22Peacock%2C%20Mabel%20Geraldine%20Woodruffe%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22Peacock%2C%20Mabel%22%20or%20dc.creator%3D%22Peacock%2C%20Mabel%20Geraldine%20Woodruffe%22
Q1015,"dc.creator=""Peake, Charlotte Mary Augusta"" or dc.creator=""Bayliff, Charlotte Mary Augusta""",dc.creator%3D%22Peake%2C%20Charlotte%20Mary%20Augusta%22%20or%20dc.creator%3D%22Bayliff%2C%20Charlotte%20Mary%20Augusta%22,http://lx2.loc.gov:210/lcdb?version=1.1&operation=searchRetrieve&maximumRecords=100&query=dc.creator%3D%22Peake%2C%20Charlotte%20Mary%20Augusta%22%20or%20dc.creator%3D%22Bayliff%2C%20Charlotte%20Mary%20Augusta%22
