isni,name_count,surname,forename
0000000448167993,1,Ponsonby,Geraldine Sarah
0000000448167993,2,Mayo,Geraldine Sarah
0000000448167993,3,Mayo,Geraldine Bourke
0000000510934891,1,Cruwys,Margaret Campbell Speke
0000000510858147,1,Herbert,Augusta Charlotte Elizabeth
0000000510963326,1,Gaye,P.
0000000510964388,1,Hurt,Georgiana Susan
0000000510923076,1,Goodbody,Olga Brilliana
0000000510941928,1,Cragg,Adelaide Alexandra
0000000510921345,1,Knox Little,E. A.
0000000510860183,1,Nichols,Lucy
0000000510922831,1,Sanders,
0000000510917899,1,Master,
0000000510864029,1,Partington,Henrietta Catherine
0000000110285474,1,Edwards,Amelia Blandford
0000000110285474,2,Edwards,Amelia B.
0000000110285474,3,Amelia Edwards,
0000000110285474,4,Edwards,Amelia Ann Blandford
0000000110285474,5,Edwards,Amelia Ann Blanford
0000000110285474,6,Edwards,Amelia Ann Blanford
0000000110285474,7,Edwards,Amelia Ann Blanford
0000000110285474,8,Edwards,Amelia Ann Blanford
0000000110285474,9,Edwards,Amelia Ann Blanford
0000000110285474,10,Edwards,Amelia Ann Blanford
0000000110285474,11,Edwards,Amelia Ann Blanford
0000000110285474,12,Edwards,Amelia Ann Blanford
0000000110285474,13,Edwards,Amelia Ann Blanford
0000000110285474,14,Edwards,Amelia B.
0000000110285474,15,Edwards,Amelia B.
0000000110285474,16,Edwards,Amelia Blandford
0000000110285474,17,Edwards,Amelia Blanford
0000000110285474,18,Edwards,Amelia Blandford
0000000110285474,19,إدواردز، أميليا،,
0000000110285474,20,Edwards,Amelia B.
0000000110285474,21,Edwards,Amelia Blanford
0000000114215983,1,Brown,Marie 
0000000114215983,2,Shipley,Mrs John B.
0000000114215983,3,Brown,Marie A.
0000000114215983,4,Brown,Marie A.
0000000114215983,5,Shipley,Marie A.
0000000114215983,6,Shipley,Marie A.
0000000114215983,7,Shipley,Marie A.
0000000114215983,8,Shipley,Marie Adelaide Brown
0000000114215983,9,Shipley,Marie Adelaide
0000000076941633,1,Meux,Valerie Susan
0000000076941633,2,Meux,Valerie Suzie
0000000076941633,3,Meux,Valerie Suzie
0000000076941633,4,Meux,Valerie Susie
0000000076941633,5,Meux,Valerie Susie
0000000510923041,1,Cooper,Marion Helen
0000000080147897,1,Taylor,Joan du Plat
0000000080147897,2,Taylor,Joan du Plat
0000000080147897,3,Joan du Plat Taylor,
0000000080147897,4,Taylor,Joan du Plat
0000000080147897,5,Taylor,Joan du Plat
0000000080147897,6,Taylor,Joan du Plat
0000000080147897,7,Taylor,Joan du Plat
0000000080147897,8,Taylor,Joan du Plat
0000000080147897,9,Taylor,Joan du Plat
0000000080147897,10,Taylor,Joan Du Plat
0000000084083157,1,Lobel,Mary Doreen
0000000084083157,2,Lobel,Mary Doreen
0000000084083157,3,Lobel,Mary D.
0000000084083157,4,Lobel,M. D.
0000000084083157,5,Lobel,M. D.
0000000084083157,6,Lobel,Mary D.
0000000084083157,7,Lobel,Mary Doreen
0000000084083157,8,Lobel,Mary Doreen
0000000084083157,9,Lobel,Mary Doreen
0000000084083157,10,Mary Lobel,
0000000084083157,11,Lobel,Mary D.
0000000023772995,1,Farquhar,Helen
0000000023772995,2,Farquhar,Helen
