bn_name,bn_id,loc_name,creator_type,title,date,year_n,place,publisher,names_n,names,bn_pos,record_id,lccnID
Ishbel Aberdeen,Q2535,"Aberdeen, Ishbel Maria Marjoribanks Hamilton-Gordon",author,Guide to the Irish industrial village and Blarney castle,1893,1893,Chicago,Irish village book store,1,"Aberdeen, Ishbel Maria Marjoribanks Hamilton-Gordon",1,Q2535_002,05030150
Annie Abram,Q536,"Abram, A.",author,"Social England in the fifteenth century, a study of the effects of economic conditions, thesis approval for the degree of doctor of science (economics) in the University of London",1909,1909,London,E.P. Dutton & co.,1,"Abram, A.",1,Q536_004,10008277
Annie Abram,Q536,"Abram, A.",author,English life and manners in the later middle ages,1913,1913,London,E.P. Dutton & Co.,1,"Abram, A.",1,Q536_003,13001361
Margaret Susan Tyssen-Amherst,Q1253,"Amherst, Margaret Susan Mitford Tyssen-Amherst",editor,"In a good cause. A collection of stories, poems, and illustrations",1885,1885,London,"W. Gardner, Darton, & Co.",1,"Amherst, Margaret Susan Mitford Tyssen-Amherst",1,Q1253_001,36024889
Mary Rothes Margaret Cecil,Q482,"Amherst, Mary Rothes Margaret Tyssen-Amherst Cecil",author,Bird notes from the Nile,1904,1904,Westminister Eng.,"A. Constable & co., ltd.",1,"Amherst, Mary Rothes Margaret Tyssen-Amherst Cecil",1,Q482_001,39004063
Mary Rothes Margaret Cecil,Q482,"Amherst, Mary Rothes Margaret Tyssen-Amherst Cecil",author,A sketch of Egyptian history from the earliest times to the present day,1904,1904,London,Methuen & co.,1,"Amherst, Mary Rothes Margaret Tyssen-Amherst Cecil",1,Q482_002,43021433
Mary Desiree Cox,Q1563,"Anderson, M. D.",editor,Cambridge readings in the literature of science,1924,1924,Cambridge Eng.,The University press,2,"Dampier, William Cecil Dampier || Anderson, M. D.",2,Q1563_023,24025872
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,The medieval carver,1935,1935,Cambridge Eng.,The University Press,1,"Anderson, M. D.",1,Q1563_020,35017483
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,Animal carvings in British churches,1938,1938,Cambridge Eng.,The University Press,1,"Anderson, M. D.",1,Q1563_007,39027575
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,Design for a journey,1940,1940,Cambridge Eng.,The University press,1,"Anderson, M. D.",1,Q1563_013,a 41001470
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,British women at war,1941,1941,London,J. Murray & the Pilot Press,1,"Anderson, M. D.",1,Q1563_009,42008666
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,Bow bells are silent,1943,1943,London,Williams and Norgate ltd.,1,"Anderson, M. D.",1,Q1563_008,a 43003043
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,"Reformers and rebels, a calendar of anniversaries",1946,1946,London,Cobbett Press,1,"Anderson, M. D.",1,Q1563_004,47020555
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,Looking for history in British churches,1951,1951,London,J. Murray,1,"Anderson, M. D.",1,Q1563_019,51012902
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,The choir stalls of Lincoln Minster,1951,1951,Lincoln,Friends of Lincoln Cathedral,1,"Anderson, M. D.",1,Q1563_011,53035117
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,"Misericords, medieval life in English woodcarving",1954,1954,"Harmondsworth, Middlesex",Penguin Books,1,"Anderson, M. D.",1,Q1563_021,a 55004523
Mary Desiree Cox,Q1563,"Anderson, M. D.",author,The imagery of British churches,1955,1955,London,Murray,1,"Anderson, M. D.",1,Q1563_018,55002979
Ella Sophia Armitage,Q491,"Armitage, Ella S.",author,An introduction to English antiquities,1903,1903,London,J. M. Dent & co.,1,"Armitage, Ella S.",1,Q491_002,04013714
Ella Sophia Armitage,Q491,"Armitage, Ella S.",author,The early Norman castles of the British Isles,1912,1912,London,J. Murray,1,"Armitage, Ella S.",1,Q491_001,12015540
Ella Sophia Armitage,Q491,"Armitage, Ella Sophia",author,"The childhood of the English nation; or, The beginnings of English history",1877,1877,New York,G. P. Putnam's sons,1,"Armitage, Ella Sophia",1,Q491_003,02021543
Ella Sophia Armitage,Q491,"Armitage, Ella Sophia",author,Richard I. and Edward I.,1881,1881,London,"Longmans, Green, and co.",1,"Armitage, Ella Sophia",1,Q491_005,19010596
Ella Sophia Armitage,Q491,"Armitage, Ella Sophia",author,A key to English antiquities,1897,1897,Sheffield,"W. Townsend; etc., etc.",1,"Armitage, Ella Sophia",1,Q491_004,44019066
Henrietta Mary Auden,Q499,"Auden, Henrietta Mary",author,"The registers of Ford, Shripshire. 1569-1812",1900,1900,London,Priv. Print. for the Shropshire Parish Register Society,1,"Auden, Henrietta Mary",1,Q499_001,01004091
Henrietta Mary Auden,Q499,"Auden, Henrietta Mary",author,Haughton Parish register [1570-1812 and Index],1902-05,1902,London,Priv. print. for the Staffordshire Parish Register Society,3,"Auden, Henrietta Mary || Parry, M. E. || Royds, Gilbert Twemlow, 1864-",1,Q499_002,23016868
Henrietta Mary Auden,Q499,"Auden, Henrietta Mary",author,Rowley Regis parish register with index,1912-15,1912,n.p.,Priv. print. for the Staffordshire Parish Record Society,1,"Auden, Henrietta Mary",1,Q499_003,23016875
Henrietta Mary Auden,Q499,"Auden, Henrietta Mary",author,Weston-under-Lizard Parish register,1933,1933,London?,Priv. print. for the Staffordshire Parish Registers Society,1,"Auden, Henrietta Mary",1,Q499_004,34020063
Sarah Marks,Q2377,"Ayrton, Hertha Marks",author,The electric arc,1902,1902,London,"""The Electrician"" printing and publishing company, limited",1,"Ayrton, Hertha Marks",1,Q2377_003,02024865
Marie Clothilde Balfour,Q734,"Balfour, Marie Clothilde",author,Maris Stella,1896,1896,Boston,John Lane,1,"Balfour, Marie Clothilde",1,Q734_002,06006323
Marie Clothilde Balfour,Q734,"Balfour, Marie Clothilde",author,Side lights on the Reign of Terror: being the memoirs of Mademoiselle Des Echerolles,1900,1900,London,John Lane,2,"Des Echerolles, Alexandrine || Balfour, Marie Clothilde",2,Q734_003,2004563061
Marie Clothilde Balfour,Q734,"Balfour, Marie Clothilde",editor,From Saranac to the Marquesas and beyond,1903,1903,London,Methuen & co.,3,"Stevenson, M. I. || Balfour, Marie Clothilde || Balfour, Jane Whyte",2,Q734_004,04009508
Marie Clothilde Balfour,Q734,"Balfour, Marie Clothilde",editor,Examples of printed folk-lore concerning Northumberland,1904,1904,London,Pub. for the Folk-lore society by D. Nutt,2,"Balfour, Marie Clothilde || Thomas, Northcote Whitridge",1,Q734_001,15003351
Marie Clothilde Balfour,Q734,"Balfour, Marie Clothilde",editor,"Letters from Samoa, 1891-1895",1906,1906,New York,C. Scribner's sons,2,"Stevenson, M. I. || Balfour, Marie Clothilde",2,Q734_005,06016297
Mary Bateson,Q735,"Bateson, Mary",editor,"A collection of original letters from the bishops of the Privy council, 1564",1893,1893,Westminster,The Camden society,1,"Bateson, Mary",1,Q735_011,a 47003553
Mary Bateson,Q735,"Bateson, Mary",editor,"A narrative of the changes in the ministry, 1765-1767, told by the Duke of Newcastle in a series of letters to John White, M.P.",1898,1898,"London, New York etc.","Longmans, Green, and co.",2,"Newcastle, Thomas Pelham-Holles || Bateson, Mary",2,Q735_036,01006776
Mary Bateson,Q735,"Bateson, Mary",editor,"Catalogue of the library of Syon monastery, Isleworth",1898,1898,Cambridge Eng.,The University press,1,"Bateson, Mary",1,Q735_037,07016529
Mary Bateson,Q735,"Bateson, Mary",editor,Records of the Borough of Leicester,1899-,1899,London,C. J. Clay and sons,3,"Bateson, Mary || Stocks, Helen || Chinnery, Gilbert Allen",1,Q735_035,01014516
Mary Bateson,Q735,"Bateson, Mary",editor,George Ashby's poems,1899,1899,London.,"Pub. for the Early English text society by K. Paul, Trench, Trübner & co.",2,"Ashby, George || Bateson, Mary",2,Q735_003,12018054
Mary Bateson,Q735,"Bateson, Mary",author,The charters of the borough of Cambridge: edited for the Council of the borough of Cambridge and the Cambridge Antiquarian Society,1901,1901,Cambridge,University Press,2,"Maitland, Frederic William || Bateson, Mary",2,Q735_030,01021182
Mary Bateson,Q735,"Bateson, Mary",author,"Index Britanniae scriptorum quos ex variis bibliothecis non parvo labore collegit Ioannes Baleus, cum aliis, John Bale's Index of British and other writers",1902,1902,Oxford,Clarendon press,3,"Bale, John || Poole, Reginald Lane || Bateson, Mary",3,Q735_005,03004791
Mary Bateson,Q735,"Bateson, Mary",editor,Cambridge gild records,1903,1903,Cambridge,Printed for the Cambridge antiquarian society,2,"Bateson, Mary || Cunningham, W.",1,Q735_007,03011913
Mary Bateson,Q735,"Bateson, Mary",author,Grace book B,1903-05,1903,Cambridge,University press,4,"Bateson, Mary || Archibald, William Arthur Jobson || Rogers, A. || Bickley, Francis Bridges",1,Q735_038,07014836
Mary Bateson,Q735,"Bateson, Mary",author,Mediaeval England; English feudal society from the Norman conquest to the middle of the fourteenth century,1904,1904,London,Putnam,1,"Bateson, Mary",1,Q735_009,04007879
Mary Bateson,Q735,"Bateson, Mary",editor,Borough customs,1904-06,1904,London,B. Quaritch,1,"Bateson, Mary",1,Q735_010,05026367
Beatrice Braithwaite Batty,Q782,"Batty, Beatrice",author,"Forty-two years amongst the Indians and Eskimos; pictures from the life of the Right Reverend John Horden, first bishop of Moosonee",1893,1893,London,The Religious tract society,1,"Batty, Beatrice",1,Q782_002,02018213
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,Safar nameh. Persian pictures,1894,1894,London,R. Bentley and son,1,"Bell, Gertrude Lowthian",1,Q130_033,01019251
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,The desert and the sown,1907,1907,New York,E.P. Dutton and company,1,"Bell, Gertrude Lowthian",1,Q130_012,07035188
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,"Syria, the desert & the sown",1907,1907,New York,E.P. Dutton and company,1,"Bell, Gertrude Lowthian",1,Q130_036,a 10000520
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,The Thousand and one churches,1909,1909,London,Hodder and Stoughton,2,"Ramsay, William Mitchell || Bell, Gertrude Lowthian",2,Q130_047,11001565
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,Amida: Matériaux pour l'épigraphie et l'histoire musulmanes du Diyar-bekr,1910,1910,Heidelberg,"C. Winter; etc., etc.",4,"Berchem, Max van || Strzygowski, Josef || Bell, Gertrude Lowthian || Schroeder, Leopold von",3,Q130_039,12028686
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,Amurath to Amurath,1911,1911,London,W. Heinemann,1,"Bell, Gertrude Lowthian",1,Q130_009,a 11001677
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,Palace and mosque at Ukhaidir; a study in early Mohammadan architecture,1914,1914,Oxford,Clarendon Press,1,"Bell, Gertrude Lowthian",1,Q130_028,14012422
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,The Arab of Mesopotamia,1917?,1917,Basrah,"Pub. by the Superintendent, Government Press",1,"Bell, Gertrude Lowthian",1,Q130_001,19006676
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,Review of the civil administration of Mesopotamia,1920,1920,London,H.M. Stationery Off.,2,"Wilson, Arnold Talbot || Bell, Gertrude Lowthian",2,Q130_046,21000837
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,The letters of Gertrude Bell,1927,1927,New York,Boni and Liveright,2,"Bell, Gertrude Lowthian || Bell, Florence Eveleen Eleanore Olliffe",1,Q130_025,28004401
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",author,Persian pictures,1928,1928,London,"E. Benn, limited",2,"Bell, Gertrude Lowthian || Ross, E. Denison",1,Q130_031,28022544
Gertrude Bell,Q130,"Bell, Gertrude Lowthian",translator,Poems from the Divan of Hafiz,1928,1928,London,W. Heinemann,2,"Ḥāfiẓ || Bell, Gertrude Lowthian",2,Q130_043,28023565
Sylvia Benton,Q876,"Benton, Sylvia",author,The gorgon plaque at Syracuse,1954,1954,,,1,"Benton, Sylvia",1,Q876_001,a 56002740
Beatrice Mary Blackwood,Q1497,"Blackwood, Beatrice Mary",author,A study of mental testing in relation to anthropology,1927,1927,"Baltimore, Md.",The Williams & Wilkins co.,1,"Blackwood, Beatrice Mary",1,Q1497_001,30000024
Edith Blake,Q462,"Blake, Edith Osborne",author,Twelve months in Southern Europe,1876,1876,London,Chapman and Hall,1,"Blake, Edith Osborne",1,Q462_002,04021454
Edith Bradley,Q668,"Bradley, Edith",author,The lighter branches of agriculture,1903,1903,London,Chapman & Hall,2,"Bradley, Edith || La Mothe, Bertha",1,Q668_002,agr03001210
Edith Bradley,Q668,"Bradley, Edith",author,The book of fruit bottling,1907,1907,London,J. Land,2,"Bradley, Edith || Crooke, May",1,Q668_001,08000411
Edith Bradley,Q668,"Bradley, Edith Elizabeth",author,"The story of the English abbeys, told in counties",1938-,1938,London,R. Hale limited,1,"Bradley, Edith Elizabeth",1,Q668_003,39014250
Lucy Etheldred Broadwood,Q811,"Broadwood, Lucy Etheldred",editor,"English county songs, words and music",1893,1893,London,"The Leadenhall press, ltd. etc.",2,"Broadwood, Lucy Etheldred || Fuller-Maitland, J. A.",1,Q811_003,02027978
Lucy Etheldred Broadwood,Q811,"Broadwood, Lucy Etheldred",author,"Jamaican song and story: Annancy stories, digging sings, ring tunes, and dancing tunes",1907,1907,London,Pub. for the Folk-lore Society by D. Nutt,4,"Jekyll, Walter || Werner, Alice || Myers, Charles S. || Broadwood, Lucy Etheldred",4,Q811_008,07023639
Lucy Etheldred Broadwood,Q811,"Broadwood, Lucy Etheldred",author,Songs from Alice in Wonderland and Through the looking-glass,1921,1921,London,"A. & C. Black, ltd.",2,"Broadwood, Lucy Etheldred || Carroll, Lewis",1,Q811_007,22026023
Mary Brodrick,Q812,"Brodrick, M.",translator,Outlines of ancient Egyptian history,1892,1892,New York,C. Scribner's sons,2,"Mariette, Auguste || Brodrick, M.",2,Q812_008,05009466
Mary Brodrick,Q812,"Brodrick, M.",author,A handbook for travellers in Lower and Upper Egypt,1896,1896,London,J. Murray,3,"Brodrick, M. || Sayce, A. H. || Lyons, H. G.",1,Q812_006,05008438
Mary Brodrick,Q812,"Brodrick, M.",author,A concise dictionary of Egyptian archaeology,1902,1902,London,Methuen & co.,1,"Brodrick, M.",1,Q812_002,02009339
Mary Brodrick,Q812,"Brodrick, M.",author,Handbook for travellers in Syria and Palestine,1903,1903,London,E. Stanford,1,"Brodrick, M.",1,Q812_007,03012072
Mary Brodrick,Q812,"Brodrick, M.",author,The trial and crucifixion of Jesus Christ of Nazareth,1908,1908,London,J. Murray,1,"Brodrick, M.",1,Q812_005,08026255
Mary Brodrick,Q812,"Brodrick, M.",author,Centenary addresses: bound together in one volume,1928?,1928,London,University of London Press,12,"Chambers, R. W. || Starling, Ernest Henry || Lodge, Oliver || Bradford, John Rose || Fleming, J. A. || Collie, J. Norman || Chesterton, G. K. || De Montmorency, James Edward Geoffrey || Temple, William || Fisher, H. A. L. || Foster, Gregory || Brodrick, M.",12,Q812_009,50053831
Olwen Brogan,Q1101,"Brogan, Olwen",author,Roman Gaul; with drawings,1953,1953,London,Bell,1,"Brogan, Olwen",1,Q1101_004,53003286
Marie Brown,Q1369,"Brown, Marie A.",author,Lays of Sweden and Finland,1876,1876,Philadelphia,Louis Mayer,2,"Borg, Selma || Brown, Marie A.",2,Q1369_020,unk84183869
Winifred Brunton,Q3767,"Brunton, Winifred",author,Kings and queens of ancient egypt,1926,1926,New York,C. Scribner's sons,1,"Brunton, Winifred",1,Q3767_002,26009310
Winifred Brunton,Q3767,"Brunton, Winifred",author,Great ones of ancient Egypt,1930,1930,New York,C. Scribner's Sons,1,"Brunton, Winifred",1,Q3767_001,30018885
Emma Buchheim,Q814,"Buchheim, E. S.",author,Niebuhr's Griechische heroen-geschichten = Tales of Greek heroes,1891,1891,Oxford,Clarendon Press,2,"Niebuhr, Barthold Georg || Buchheim, E. S.",2,Q814_003,16016866
Emma Buchheim,Q814,"Buchheim, E. S.",translator,An Egyptian princess; an historical novel,1895,1895,London,G. Bell and Sons,2,"Ebers, Georg || Buchheim, E. S.",2,Q814_002,12032037
Anne Walbank Buckland,Q815,"Buckland, Anne Walbank",author,"Our viands: whence they come and how they are cooked, with a bundle of old recipes from cookery books of the last century",1893,1893,London,Ward & Downey,1,"Buckland, Anne Walbank",1,Q815_001,07026056
Charlotte Sophia Burne,Q662,"Burne, Charlotte Sophia",author,"Shropshire folk-lore, a sheaf of gleanings",1883,1883,London,Trübner & Co.,1,"Burne, Charlotte Sophia",1,Q662_006,tmp96033781
Charlotte Sophia Burne,Q662,"Burne, Charlotte Sophia",author,The handbook of folklore,1914,1914,London,"Pub. for the Folklore society by Sidgwick & Jackson, ltd.",2,"Burne, Charlotte Sophia || Gomme, George Laurence",1,Q662_001,14016463
Rachel Harriette Busk,Q412,"Busk, Rachel Harriette",author,"The folk-lore of Rome, collected by word of mouth from the people",1874,1874,London,"Longmans, Green",1,"Busk, Rachel Harriette",1,Q412_005,ltf91004386
Rachel Harriette Busk,Q412,"Busk, Rachel Harriette",author,"Sagas from the Far East, or, Kalmouk and Mongolian traditional tales with historical preface and explanatory notes",1883,1883,London,Griffith and Farran,1,"Busk, Rachel Harriette",1,Q412_003,83190848
Rachel Harriette Busk,Q412,"Busk, Rachel Harriette",author,The folk-songs of Italy,1887,1887,London,"S. Sonnenschein, Lowrey & co.",2,"Busk, Rachel Harriette || Pitrè, Giuseppe",1,Q412_002,03016439
Amice Mary Calverley,Q2849,"Calverley, Amice Mary",author,The temple of King Sethos I at Abydos,1933-,1933,Chicago,The Egypt exploration society,3,"Gardiner, Alan H. || Calverley, Amice Mary || Broome, Myrtle F.",2,Q2849_003,34035755
Mary Lovett Cameron,Q818,"Cameron, Mary Lovett",author,Old Etruria and modern Tuscany,1909,1909,London,Methuen & co.,1,"Cameron, Mary Lovett",1,Q818_002,a 15001571
Mary Lovett Cameron,Q818,"Cameron, Mary Lovett",author,The inquiring pilgrim's guide to Assisi,1926,1926,London,Methuen,3,"Cameron, Mary Lovett || Howell, A. G. Ferrers || Thomas",1,Q818_001,27018796
Edith Frances Carey,Q820,"Carey, Edith F.",editor,"Guernsey folk lore; a collection of popular superstititons, legendary tales, peculiar customs, proverbs, weather sayings, etc., of the people of that island",1903,1903,London,"E. Stock; Guernsey, F. Clarke",2,"MacCulloch, Edgar || Carey, Edith F.",2,Q820_007,04001884
Edith Frances Carey,Q820,"Carey, Edith F.",author,The Channel islands,1904,1904,London,A. & C. Black,1,"Carey, Edith F.",1,Q820_001,05011591
Edith Frances Carey,Q820,"Carey, Edith F.",author,Essays on Guernsey history,1936,1936,Guernsey,La Société guernesiaise,1,"Carey, Edith F.",1,Q820_002,47035822
Edith Frances Carey,Q820,"Carey, Edith F.",author,The history of the Careys of Guernsey,1938,1938,London,"J. M. Dent & sons, ltd.",3,"Carey, William Wilfred || Carey, Edith F. || Curtis, Spencer Carey",2,Q820_003,39002977
Edith Frances Carey,Q820,"Carey, Edith F.",author,Genealogy of the Lenfest-Lenfestey family in Guernsey,1938,1938,Brooklyn,,3,"Lenfest, Bertram A. || Priaulx, Fred || Carey, Edith F.",3,Q820_004,40021849
Gertrude Caton-Thompson,Q870,"Caton-Thompson, Gertrude",author,The Badarian civilisation and predynastic remains near Badari,1928,1928,London,British school of archaeology in Egypt etc.,2,"Brunton, Guy || Caton-Thompson, Gertrude",2,Q870_001,29001651
